control_code,control_name_ko,control_name_en,control_category,control_type,description,typical_keywords,typical_verbs,related_sentence_types,related_hazard_codes,related_equipment_codes,related_work_type_codes,legal_required_possible,review_status,note
ctrl_fall_protection_install,추락방지설비 설치,fall_protection_install,engineering_control,fall_protection_install,작업발판·안전난간·개구부 덮개 등 추락방지 설비를 설치하고 상태를 확인한다,안전난간|안전난간대|작업발판|개구부 덮개|방호선|추락방지망,설치|부착|고정,"equipment_rule,requirement",추락,"비계,고소작업","고소작업,비계_조립,비계_해체",Y,draft,산안규칙 제43조·42조 연계
ctrl_local_ventilation_install,국소배기장치 설치·운전,local_ventilation_install,engineering_control,local_ventilation_install,국소배기장치를 설치·운전하고 성능을 확인한다,국소배기장치|국소배기|배기설비|환기장치,설치|운전|가동,"equipment_rule,requirement",소음진동,,"용접,도장",Y,draft,산안규칙 제72조·제74조
ctrl_guard_installation,방호장치 설치,guard_installation,engineering_control,guard_installation,회전·절단부에 방호장치를 설치하고 탈착 여부를 점검한다,방호장치|가드|안전덮개|인터록|과부하방지장치,설치|부착,"equipment_rule,requirement","끼임,협착,절단",기계정비,기계정비,Y,draft,
ctrl_lockout_tagout,기동장치 잠금·표지(LOTO),lockout_tagout,engineering_control,lockout_tagout,정비·청소 시 기동장치를 잠그고 LOTO 표지를 부착한다,기동장치|잠금|LOTO|전원차단,잠그고|차단|부착,"equipment_rule,requirement","감전,끼임",,기계정비,Y,draft,
ctrl_electrical_isolation,충전전로 정전·접지,electrical_isolation,engineering_control,electrical_isolation,정전 후 검전기로 확인하고 접지한 뒤 작업한다,충전전로|정전|접지|검전기|활선,정전|접지|차단,"equipment_rule,requirement",감전,,,Y,draft,
ctrl_confined_space_ventilation,밀폐공간 환기·산소 공급,confined_space_ventilation,engineering_control,confined_space_ventilation,밀폐공간 작업 전·중 환기를 실시하고 산소농도를 유지한다,밀폐공간|산소농도|환기,환기|공급,"equipment_rule,requirement",질식,,밀폐공간,Y,draft,
ctrl_drop_prevention,자재 낙하 방지,drop_prevention,engineering_control,drop_prevention,자재 낙하 방지망·방호선반·결속구를 설치한다,낙하방지|낙하물 방지망|방호선반|결속,설치|결속,equipment_rule,비래낙하,"양중,비계",양중,Y,draft,
ctrl_ppe_wear,보호구 착용,ppe_wear,ppe_control,ppe_wear,해당 작업에 적합한 보호구(안전모·안전대·보안경 등)를 착용한다,보호구|안전모|안전대|안전화|방진마스크|호흡보호구|내화학장갑|보안경|보호복|귀마개,착용,"ppe_rule,requirement",,,,Y,draft,
ctrl_ppe_provision,보호구 지급·관리,ppe_provision,ppe_control,ppe_provision,작업에 적합한 보호구를 근로자에게 지급하고 교체 주기를 관리한다,보호구 지급|보호구 비치,지급|비치|교체,"ppe_rule,document_rule",,,,Y,draft,
ctrl_special_training,특별안전보건교육 실시,special_training,training_control,special_training,해당 작업 근로자에게 특별안전보건교육을 실시한다,특별교육|특별안전교육|특별안전보건교육,실시|이수,education_rule,,,,Y,draft,
ctrl_pre_work_briefing,작업 전 안전교육(TBM),pre_work_briefing,training_control,pre_work_briefing,작업 전 위험요인·작업순서·보호구를 주지(TBM)한다,작업 전 교육|TBM|툴박스미팅|조회|일일안전,실시|주지|숙지,"education_rule,procedure",,,,N,draft,법적 의무는 아니나 현장 표준
ctrl_safety_training_general,정기 안전보건교육,safety_training_general,training_control,safety_training_general,법정 안전보건교육을 분기/반기별로 실시한다,안전보건교육|안전교육|정기교육,실시|이수,education_rule,,,,Y,draft,
ctrl_periodic_inspection,정기 점검,periodic_inspection,inspection_control,periodic_inspection,설비의 방호장치·과부하장치 등을 정기적으로 점검한다,정기점검|자체점검|매일 점검|매월|6개월마다|연 1회,점검|검사|확인,"inspection_rule,requirement",,,,Y,draft,
ctrl_pre_work_inspection,작업 전 점검,pre_work_inspection,inspection_control,pre_work_inspection,작업 전 설비 및 작업환경 이상 유무를 점검한다,작업 전 점검|시업 전 점검|작업 시작 전,점검|확인,"inspection_rule,procedure",,,,Y,draft,
ctrl_atmospheric_measurement,가스·산소 농도 측정,atmospheric_measurement,inspection_control,atmospheric_measurement,밀폐공간 작업 전 산소·유해가스 농도를 측정한다,산소농도|유해가스|가스농도|농도 측정,측정|확인,inspection_rule,질식,,밀폐공간,Y,draft,
ctrl_working_environment_measurement,작업환경측정,working_environment_measurement,inspection_control,working_environment_measurement,분진·소음 등 유해인자에 대해 작업환경측정을 실시한다,작업환경측정|유해인자 측정,측정|실시,inspection_rule,소음진동,,,Y,draft,
ctrl_checklist_verification,체크리스트 점검,checklist_verification,inspection_control,checklist_verification,표준 점검표로 작업 전·중 상태를 점검·기록한다,체크리스트|점검표|자율점검,점검|기록|확인,"inspection_rule,document_rule",,,,N,draft,
ctrl_msds_posting,MSDS·경고표지 게시,msds_posting,document_control,msds_posting,취급 물질의 MSDS·경고표지를 게시하고 비치한다,MSDS|물질안전보건자료|경고표지,게시|비치|부착,document_rule,,,,Y,draft,
ctrl_record_retention,점검·교육 기록 보존,record_retention,document_control,record_retention,점검·교육·측정 기록을 법정 기간 보존한다,기록|보존|관리대장,보존|기록,document_rule,,,,Y,draft,
ctrl_work_plan_preparation,작업계획서 작성,work_plan_preparation,document_control,work_plan_preparation,해당 작업의 작업계획서를 작성하고 근로자에게 주지한다,작업계획서|작업계획,작성|주지,"document_rule,requirement",,,,Y,draft,
ctrl_safety_sign_posting,안전보건표지 부착,safety_sign_posting,document_control,safety_sign_posting,작업장 출입구·위험구역에 안전보건표지를 부착한다,안전보건표지|주의표지|경고표지(표지),부착|설치,document_rule,,,,Y,draft,
ctrl_incident_report,재해·사고 보고,incident_report,document_control,incident_report,중대재해·산업재해 발생 시 고용노동부에 보고한다,산업재해|중대재해|보고,보고|신고,"document_rule,requirement",,,,Y,draft,
ctrl_supervisor_assignment,관리감독자 배치,supervisor_assignment,supervision_control,supervisor_assignment,해당 작업에 관리감독자(작업지휘자)를 배치한다,관리감독자|작업지휘자,배치|지정,requirement,,,,Y,draft,
ctrl_signalman_assignment,신호수 배치,signalman_assignment,supervision_control,signalman_assignment,중량물 인양·차량계 건설기계 작업에 신호수를 배치한다,신호수|유도자,배치,requirement,충돌,양중,양중,Y,draft,
ctrl_standby_person_assignment,감시인 배치,standby_person_assignment,supervision_control,standby_person_assignment,밀폐공간 등 고위험 작업 외부에 감시인을 상시 배치한다,감시인|감시자|외부 감시,배치,"requirement,emergency_rule",질식,,밀폐공간,Y,draft,
ctrl_fire_watch_assignment,화재감시인 배치,fire_watch_assignment,supervision_control,fire_watch_assignment,화기작업 중 화재감시인을 배치하고 작업 후 30분 이상 잔류한다,화재감시인|화기감시,배치,requirement,,,용접,Y,draft,
ctrl_work_permit_issue,작업허가서 발행,work_permit_issue,permit_control,work_permit_issue,해당 작업에 대해 작업허가서를 발행하고 승인 후 착수한다,작업허가서|작업허가,발행|승인,"document_rule,requirement",,,,N,draft,법정 의무는 제한적 — 화기/밀폐/굴착 등 제한
ctrl_confined_space_permit,밀폐공간 작업허가,confined_space_permit,permit_control,confined_space_permit,밀폐공간 진입 전 작업허가서·가스농도·환기를 확인한다,밀폐공간 작업허가,발행|확인,"permit,requirement",질식,,밀폐공간,Y,draft,
ctrl_hot_work_permit,화기작업 허가,hot_work_permit,permit_control,hot_work_permit,용접·용단 등 화기작업 허가서를 발행하고 주변 가연물을 제거한다,화기작업 허가,발행|제거,"permit,requirement",,,용접,N,draft,
ctrl_access_restriction,출입금지·구역 통제,access_restriction,administrative_control,access_restriction,위험구역 출입금지 표지·차단 설비를 설치하고 관계자 외 접근을 통제한다,출입금지|출입통제|관계자 외 출입,통제|제한|설치,"requirement,prohibition",,,,Y,draft,
ctrl_work_zone_separation,작업구역 분리,work_zone_separation,administrative_control,work_zone_separation,작업 구역을 분리하고 혼재 시 사전 협의·조정을 수행한다,작업구역 분리|혼재작업,분리|조정,requirement,충돌,,,Y,draft,
ctrl_simultaneous_work_coordination,혼재작업 안전조정,simultaneous_work_coordination,administrative_control,simultaneous_work_coordination,도급·수급·자사 혼재작업 간 위험요인을 협의·조정한다,혼재작업|안전보건협의체,협의|조정,requirement,,,,Y,draft,
ctrl_emergency_evacuation,비상 대피체계 수립,emergency_evacuation,emergency_control,emergency_evacuation,비상 시 대피 경로·집결지·연락체계를 수립·주지한다,대피|피난|비상연락|집결지,수립|주지|확보,"emergency_rule,requirement",,,,Y,draft,
ctrl_first_aid_setup,응급처치 체계,first_aid_setup,emergency_control,first_aid_setup,응급처치 장비·구급함·응급연락망을 비치·주지한다,응급처치|구급함|응급연락,비치|주지,emergency_rule,,,,Y,draft,
ctrl_fire_extinguisher_setup,소화설비 비치,fire_extinguisher_setup,emergency_control,fire_extinguisher_setup,소화기·소화전 등 소화설비를 비치하고 사용법을 주지한다,소화기|소화전|소화설비,비치|주지,"emergency_rule,equipment_rule",,,용접,Y,draft,
ctrl_special_health_check,특수건강진단,special_health_check,health_control,special_health_check,유해인자 노출 근로자에게 특수건강진단을 실시한다,특수건강진단|배치전건강진단,실시,requirement,,,,Y,draft,
ctrl_exposure_monitoring,유해인자 노출 관리,exposure_monitoring,health_control,exposure_monitoring,유해인자 노출 기준을 초과하지 않도록 관리한다,노출기준|허용기준|TLV,관리|유지,requirement,,,,Y,draft,
ctrl_housekeeping_cleanup,정리·정돈·청소,housekeeping_cleanup,housekeeping_control,housekeeping_cleanup,"작업장·통로의 자재 적치, 누유·분진을 정리한다",정리정돈|적치|통로 확보|미끄럼,정리|청소|제거,"requirement,procedure",전도,,,Y,draft,
ctrl_slip_prevention,미끄럼 방지,slip_prevention,housekeeping_control,slip_prevention,바닥 누유·결빙·빗물로 인한 미끄럼을 방지한다,미끄럼|결빙|누유,방지|제거,requirement,전도,,,Y,draft,
ctrl_traffic_guide_assignment,차량 유도자 배치,traffic_guide_assignment,traffic_control,traffic_guide_assignment,중장비·차량 이동 구간에 신호수·유도자를 배치한다,유도자|신호수|차량 동선,배치|유도,requirement,충돌,양중,,Y,draft,
ctrl_backup_alarm_use,후진경보 사용,backup_alarm_use,traffic_control,backup_alarm_use,후진 시 경보장치·유도자로 충돌을 방지한다,후진경보|후진 시 경보,사용|배치,requirement,충돌,,,Y,draft,
ctrl_scaffold_inspection,비계 점검,scaffold_inspection,inspection_control,scaffold_inspection,비계 조립 후 및 매일 작업 시작 전 점검한다,비계 점검|비계 조립,점검,"inspection_rule,equipment_rule","붕괴,추락",비계,"비계_조립,비계_해체",Y,draft,
ctrl_crane_signal_rule,크레인 신호체계,crane_signal_rule,supervision_control,crane_signal_rule,크레인 작업 시 정해진 신호체계로만 작업지시를 전달한다,크레인 신호|신호체계|수신호,준수|전달,"procedure,requirement","비래낙하,중량물",양중,양중,Y,draft,
ctrl_pre_energization_check,통전 전 확인,pre_energization_check,inspection_control,pre_energization_check,전기 투입 전 주변 작업자 철수·접지 해제 여부를 확인한다,통전|전원 투입|활선 확인,확인|철수,"inspection_rule,procedure",감전,,,Y,draft,
ctrl_hot_work_area_clear,화기작업 주변 가연물 제거,hot_work_area_clear,housekeeping_control,hot_work_area_clear,용접·용단 작업 전 10m 이내 가연물을 제거하거나 격리한다,가연물|가연물 제거|10m,제거|격리,"requirement,procedure",,,용접,Y,draft,
ctrl_harness_attachment,안전대 부착설비 설치,harness_attachment,engineering_control,harness_attachment,고소작업 시 안전대를 걸 수 있는 부착설비(생명선)를 설치한다,안전대 부착설비|생명선|lifeline,설치,"equipment_rule,requirement",추락,고소작업,고소작업,Y,draft,
ctrl_noise_exposure_limit,소음 노출한도 관리,noise_exposure_limit,health_control,noise_exposure_limit,소음 노출시간·강도를 기준 이내로 관리한다,소음|dB|청력보존,관리|측정,"requirement,inspection_rule",소음진동,,,Y,draft,
